"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"869","1600086","playerP","尾仲 祐哉","阪神","2022","---","1.000","1.000","0.000","0.667","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","0.000","---","0","0","0","0","2","1","2","9.00","32","11","4","0","1","0","1","2","2","0","0","0",".400","0.00%","0","0.00","2.50","148","118","30"
"870","1600086","playerP","尾仲 祐哉","ヤクルト","2023","0.400","0.750","1.000","0.400","0.000","0.556","0.600","0.250","0.250","---","---","0.000","---","---","---","---","0.000","---","---","0.000","---","0.500","0.000","0.200","1.000","0","0","1","0","8","11","15+2/3","4.60","285","72","21","2","7","1","0","9","9","0","0","0",".356","0.00%","0","0.00","1.79","151","116","35"
"871","2101118","playerP","エスピナル","ヤクルト","2023","0.333","0.000","0.000","---","0.000","0.000","0.000","0.000","---","---","---","---","---","---","---","---","0.000","---","---","---","---","---","0.000","0.000","---","0","0","0","0","4","3","5","7.20","84","20","1","1","5","0","0","3","3","0","0","0",".067","0.00%","0","0.00","1.20","150","118","32"
"872","1500119","playerP","成田 翔","ロッテ","2017","0.000","0.273","0.000","0.500","0.333","0.111","1.000","0.000","0.600","---","0.000","---","0.000","---","---","---","0.333","---","---","1.000","---","0.000","0.000","---","---","0","0","2","0","8","4","12+1/3","5.84","207","52","12","2","4","1","0","8","6","0","0","0",".261","0.00%","0","0.00","1.30","144","110","34"
"873","1500119","playerP","成田 翔","ロッテ","2018","0.333","0.000","0.000","0.500","---","0.000","---","0.000","0.000","---","---","0.000","---","---","---","---","1.000","---","---","---","---","---","0.000","---","---","0","0","0","0","1","5","4","2.25","60","17","3","0","2","0","0","2","2","0","0","0",".200","0.00%","0","0.00","1.25","142","117","25"
"874","1500119","playerP","成田 翔","ロッテ","2020","1.000","0.000","---","0.667","0.000","0.000","---","---","1.000","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0","0","0","0","3","3","3","9.00","46","15","5","2","0","1","0","6","6","0","0","0",".385","0.00%","0","0.00","1.67","144","121","23"
"875","1500119","playerP","成田 翔","ロッテ","2021","---","---","---","---","0.000","0.000","0.667","0.000","---","---","---","0.500","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","3","3","3","9.00","55","14","3","0","2","0","0","0","0","0","0","0",".250","0.00%","0","0.00","1.67","140","117","23"
"876","1500119","playerP","成田 翔","ヤクルト","2023","---","0.000","---","1.000","0.000","0.333","---","0.500","0.000","---","---","---","---","---","---","0.000","0.000","---","---","---","---","---","---","---","---","0","0","0","0","2","3","3+1/3","5.40","70","17","4","0","1","2","0","2","2","0","0","0",".286","0.00%","0","0.00","1.50","140","117","23"
"877","1800035","playerP","市川 悠太","ヤクルト","2022","0.500","0.200","0.500","0.333","0.333","0.250","0.333","0.833","0.333","---","---","0.500","---","---","---","---","0.000","0.000","0.000","0.000","---","---","0.333","0.000","0.000","0","0","0","0","6","6","12","4.50","237","58","17","1","6","1","0","10","10","0","0","0",".347","0.00%","0","0.00","1.92","145","103","42"
"878","1800035","playerP","市川 悠太","ヤクルト","2023","0.400","0.333","0.333","0.333","0.333","0.286","0.500","0.333","0.250","---","---","0.000","0.000","---","---","0.000","0.000","0.000","---","---","---","0.000","0.000","---","0.000","0","0","2","0","7","4","14","4.50","250","65","14","4","5","4","0","14","13","0","0","0",".255","0.00%","7","5.25","1.36","143","101","42"
