"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"90","2015","パ","楽","3.82","3.89","3.73","57","83","36","1,023","143","1287 2/3","7.15","21,923","5,570","1,302","113","446","49","10","612","547","4","1","1",".257","54.55%","320","3.27","1.36","2,412","641",".266","60","105"
"91","2016","パ","日","3.07","3.25","2.67","87","53","42","1,004","143","1284","0.09","21,021","5,349","1,129","89","440","48","15","467","438","9","4","3",".233","54.55%","431","4.34","1.22","2,117","535",".253","39","120"
"92","2016","パ","ソ","3.09","3.13","2.98","83","54","46","1,158","143","1291","0.10","21,290","5,332","1,114","126","393","44","8","479","443","7","3","0",".228","64.34%","523","4.90","1.17","2,251","507",".225","53","89"
"93","2016","パ","ロ","3.66","3.82","3.35","72","68","36","855","143","1289","0.07","21,266","5,517","1,308","104","412","43","16","582","524","12","4","2",".259","55.94%","419","4.13","1.33","2,120","580",".274","45","97"
"94","2016","パ","西","3.85","4.10","3.42","64","76","31","956","143","1270 2/3","0.08","22,010","5,531","1,249","78","515","76","9","618","543","8","3","0",".253","45.45%","411","4.34","1.39","2,051","543",".265","42","66"
"95","2016","パ","楽","4.11","3.91","4.53","62","78","30","1,026","143","1279","0.09","21,844","5,564","1,324","106","447","59","5","654","584","3","1","2",".262","53.85%","391","3.86","1.38","2,149","587",".273","37","87"
"96","2016","パ","オ","4.18","4.29","3.98","57","83","34","956","143","1269 1/3","0.08","22,196","5,541","1,285","113","513","35","8","635","589","7","2","1",".258","48.95%","377","3.77","1.42","2,148","566",".264","48","82"
"97","2017","パ","ソ","3.23","3.46","2.80","94","49","58","1,203","143","1276 1/3","0.10","21,456","5,284","1,062","134","450","52","1","483","458","4","2","1",".222","49.65%","455","4.66","1.18","2,067","449",".217","45","125"
"98","2017","パ","西","3.54","3.64","3.34","79","61","29","967","143","1269 2/3","0.08","20,825","5,328","1,169","125","396","53","7","560","499","10","7","1",".240","51.05%","491","5.07","1.23","1,930","493",".255","54","86"
"99","2017","パ","楽","3.34","3.35","3.32","77","63","41","1,144","143","1280 2/3","0.10","21,432","5,341","1,140","115","401","49","6","528","475","13","3","2",".233","55.94%","424","4.09","1.20","2,279","550",".241","41","104"
